File,MotionCutoff,FreezeThresh,MinFreezeDuration,Frame,Motion,Freezing
Freezing_animal.mpg,10.0,200.0,15.0,373,1119.0,0
Freezing_animal.mpg,10.0,200.0,15.0,374,795.0,0
Freezing_animal.mpg,10.0,200.0,15.0,375,635.0,0
Freezing_animal.mpg,10.0,200.0,15.0,376,451.0,0
Freezing_animal.mpg,10.0,200.0,15.0,377,815.0,0
Freezing_animal.mpg,10.0,200.0,15.0,378,595.0,0
Freezing_animal.mpg,10.0,200.0,15.0,379,546.0,0
Freezing_animal.mpg,10.0,200.0,15.0,380,787.0,0
Freezing_animal.mpg,10.0,200.0,15.0,381,446.0,0
Freezing_animal.mpg,10.0,200.0,15.0,382,339.0,0
Freezing_animal.mpg,10.0,200.0,15.0,383,425.0,0
Freezing_animal.mpg,10.0,200.0,15.0,384,394.0,0
Freezing_animal.mpg,10.0,200.0,15.0,385,359.0,0
Freezing_animal.mpg,10.0,200.0,15.0,386,299.0,0
Freezing_animal.mpg,10.0,200.0,15.0,387,240.0,0
Freezing_animal.mpg,10.0,200.0,15.0,388,586.0,0
Freezing_animal.mpg,10.0,200.0,15.0,389,583.0,0
Freezing_animal.mpg,10.0,200.0,15.0,390,461.0,0
Freezing_animal.mpg,10.0,200.0,15.0,391,475.0,0
Freezing_animal.mpg,10.0,200.0,15.0,392,327.0,0
Freezing_animal.mpg,10.0,200.0,15.0,393,673.0,0
Freezing_animal.mpg,10.0,200.0,15.0,394,157.0,0
Freezing_animal.mpg,10.0,200.0,15.0,395,287.0,0
Freezing_animal.mpg,10.0,200.0,15.0,396,183.0,0
Freezing_animal.mpg,10.0,200.0,15.0,397,187.0,0
Freezing_animal.mpg,10.0,200.0,15.0,398,0.0,0
Freezing_animal.mpg,10.0,200.0,15.0,399,94.0,0
Freezing_animal.mpg,10.0,200.0,15.0,400,42.0,0
Freezing_animal.mpg,10.0,200.0,15.0,401,138.0,0
Freezing_animal.mpg,10.0,200.0,15.0,402,18.0,0
Freezing_animal.mpg,10.0,200.0,15.0,403,86.0,0
Freezing_animal.mpg,10.0,200.0,15.0,404,258.0,0
Freezing_animal.mpg,10.0,200.0,15.0,405,94.0,0
Freezing_animal.mpg,10.0,200.0,15.0,406,25.0,0
Freezing_animal.mpg,10.0,200.0,15.0,407,154.0,0
Freezing_animal.mpg,10.0,200.0,15.0,408,200.0,0
Freezing_animal.mpg,10.0,200.0,15.0,409,102.0,0
Freezing_animal.mpg,10.0,200.0,15.0,410,100.0,0
Freezing_animal.mpg,10.0,200.0,15.0,411,73.0,0
Freezing_animal.mpg,10.0,200.0,15.0,412,193.0,0
Freezing_animal.mpg,10.0,200.0,15.0,413,28.0,0
Freezing_animal.mpg,10.0,200.0,15.0,414,60.0,0
Freezing_animal.mpg,10.0,200.0,15.0,415,29.0,0
Freezing_animal.mpg,10.0,200.0,15.0,416,104.0,0
Freezing_animal.mpg,10.0,200.0,15.0,417,0.0,0
Freezing_animal.mpg,10.0,200.0,15.0,418,0.0,0
Freezing_animal.mpg,10.0,200.0,15.0,419,22.0,0
Freezing_animal.mpg,10.0,200.0,15.0,420,304.0,0
Freezing_animal.mpg,10.0,200.0,15.0,421,454.0,0
Freezing_animal.mpg,10.0,200.0,15.0,422,399.0,0
Freezing_animal.mpg,10.0,200.0,15.0,423,638.0,0
Freezing_animal.mpg,10.0,200.0,15.0,424,691.0,0
Freezing_animal.mpg,10.0,200.0,15.0,425,563.0,0
Freezing_animal.mpg,10.0,200.0,15.0,426,386.0,0
Freezing_animal.mpg,10.0,200.0,15.0,427,365.0,0
Freezing_animal.mpg,10.0,200.0,15.0,428,405.0,0
Freezing_animal.mpg,10.0,200.0,15.0,429,52.0,0
Freezing_animal.mpg,10.0,200.0,15.0,430,274.0,0
